Country,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,Climate Watch,Industrial Processes,F-Gas,0.013512,0.012572,0.0116321,0.0106921,0.0097521,0.00881212,0.00838224,0.00795235,0.00752246,0.00709257,0.00666269,0.0155894,0.024516,0.0334427,0.0423694,0.0512961,0.064779,0.0782619,0.0917449,0.105228,0.118711,0.129189,0.139667,0.150145,0.160623,0.171101,0.19261,0.214119,0.235628,0.257137,0.278645,0.295674,0.312702,0.329731
AFG,Climate Watch,Industrial Processes,N2O,0.0914711,0.0778219,0.0622268,0.0583045,0.020241,0.0133963,0.00647157,0.00660087,0.00657668,0.00644428,0.00663412,0.0244642,0.0242012,0.0244112,0.0229425,0.0223146,0.0214045,0.0214612,0.0226462,0.0222084,0.0222001,0.022034,0.0224554,0.0225,0.0189174,0.0197694,0.020262,0.0207669,0.0212843,0.0218147,0.0223582,0.0228536,0.0233599,0.0238774
AFG,Climate Watch,"Land Use, Land-Use Change and Forestry",All GHG,6.01e-05,6.01e-05,6.01e-05,6.01e-05,6.01e-05,6.01e-05,0.0002111,0.0001314,0.0003188,8.53e-05,0.0007061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Climate Watch,"Land Use, Land-Use Change and Forestry",CH4,3.36e-05,3.36e-05,3.36e-05,3.36e-05,3.36e-05,3.36e-05,0.0001316,7.84e-05,0.0002128,5.88e-05,0.0004676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Climate Watch,"Land Use, Land-Use Change and Forestry",CO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Climate Watch,"Land Use, Land-Use Change and Forestry",N2O,2.65e-05,2.65e-05,2.65e-05,2.65e-05,2.65e-05,2.65e-05,7.95e-05,5.3e-05,0.000106,2.65e-05,0.0002385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Climate Watch,Manufacturing/Construction,All GHG,0.571065,0.53177,0.391832,0.37713,0.359538,0.342962,0.322933,0.295272,0.27506,0.252377,0.232174,0.229232,0.563951,0.48899,0.244193,0.346167,0.34908,0.739433,1.20594,1.66593,2.38961,4.17463,3.24968,3.34172,3.59943,2.77306,2.77711,3.24315,3.59048,3.58704,3.93259,3.26484,3.76391,3.80656
AFG,Climate Watch,Manufacturing/Construction,CH4,9e-06,9e-06,7e-06,7e-06,6e-06,6e-06,6e-06,5e-06,5e-06,4e-06,4e-06,4e-06,1e-05,9e-06,4e-06,6e-06,6e-06,1e-05,1.5e-05,1.9e-05,2.7e-05,4.6e-05,3.7e-05,3.8e-05,4e-05,3.2e-05,3.2e-05,3.7e-05,4.1e-05,4.1e-05,4.3e-05,3.6e-05,4.2e-05,4.2e-05
AFG,Climate Watch,Manufacturing/Construction,CO2,0.571053,0.531758,0.391824,0.377122,0.359531,0.342955,0.322926,0.295266,0.275054,0.252373,0.23217,0.229227,0.56394,0.48898,0.244188,0.34616,0.349073,0.739416,1.20591,1.66589,2.38955,4.17452,3.2496,3.34164,3.59934,2.77299,2.77704,3.24307,3.59038,3.58695,3.93248,3.26476,3.76381,3.80646
AFG,Climate Watch,Manufacturing/Construction,N2O,3e-06,3e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,7e-06,1.4e-05,2.2e-05,3.3e-05,6e-05,4.6e-05,4.7e-05,5.2e-05,3.9e-05,3.8e-05,4.6e-05,5.2e-05,5.2e-05,5.9e-05,4.9e-05,5.7e-05,5.8e-05
AFG,Climate Watch,Other Fuel Combustion,All GHG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05812,0.097128,0.109802,0.122497,0.137761,0.137934,0.141138,0.225145,0.154765,0.06772,0.047101,0.039319,0.039869
AFG,Climate Watch,Other Fuel Combustion,CH4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,4e-06,4e-06,5e-06,5e-06,5e-06,5e-06,9e-06,6e-06,3e-06,2e-06,2e-06,2e-06
