measure,year,fossil_industry_Mt,lulucf_Mt
CO2,1937,4496.713,6661.131
CO2,1938,4229.617,6691.864
CO2,1939,4470.132,6658.159
CO2,1940,4884.661,6830.764
CO2,1941,4999.090,6984.933
CO2,1942,4982.523,7000.048
CO2,1943,5075.273,7012.337
CO2,1944,5162.486,6933.221
CO2,1945,4289.312,6951.604
CO2,1946,4608.545,6898.335
CO2,1947,5165.204,6819.853
CO2,1948,5447.883,6756.139
CO2,1949,5204.033,6667.076
CO2,1950,5799.693,7966.321
CO2,1951,6226.187,8654.177
CO2,1952,6309.573,8749.726
CO2,1953,6487.361,8939.392
CO2,1954,6625.653,9539.809
CO2,1955,7255.817,9752.511
CO2,1956,7724.194,9825.861
CO2,1957,7961.608,10113.628
CO2,1958,8209.083,10008.267
CO2,1959,8641.329,10645.655
CO2,1960,9150.299,8954.303
CO2,1961,9153.475,9051.429
CO2,1962,9476.194,8437.058
CO2,1963,9982.739,8190.165
CO2,1964,10513.104,7741.713
CO2,1965,10988.654,7415.371
CO2,1966,11514.213,6819.842
CO2,1967,11864.600,7314.409
CO2,1968,12511.081,7342.627
CO2,1969,13349.296,8071.813
CO2,1970,14464.567,7599.439
CO2,1971,15044.805,7038.827
CO2,1972,15734.861,7639.188
CO2,1973,16553.511,7296.496
CO2,1974,16511.538,7265.881
CO2,1975,16543.440,6985.895
CO2,1976,17426.336,6811.167
CO2,1977,17911.928,7758.867
CO2,1978,18571.521,7655.373
CO2,1979,19053.732,6635.300
CO2,1980,18965.478,6848.436
CO2,1981,18469.588,6689.951
CO2,1982,18358.357,6213.591
CO2,1983,18545.018,6735.933
CO2,1984,19099.097,7447.245
CO2,1985,19779.000,7748.668
CO2,1986,20045.865,8012.362
CO2,1987,20580.081,7354.739
CO2,1988,21374.447,6916.922
CO2,1989,21636.262,6634.668
CO2,1990,22184.274,6338.432
CO2,1991,22662.921,6062.463
CO2,1992,21966.607,6494.907
CO2,1993,22192.437,6157.887
CO2,1994,22389.769,7405.290
CO2,1995,22899.380,6949.619
CO2,1996,23564.961,7171.354
CO2,1997,23677.038,8652.815
CO2,1998,23549.458,7660.213
CO2,1999,24064.351,7308.307
CO2,2000,24727.964,6865.979
CO2,2001,24915.490,5941.732
CO2,2002,25468.486,6671.891
CO2,2003,26823.430,8225.140
CO2,2004,27706.558,7152.442
CO2,2005,28659.723,6541.497
CO2,2006,29603.556,6511.732
CO2,2007,30451.002,6083.358
CO2,2008,30991.479,6503.751
CO2,2009,30498.964,7248.714
CO2,2010,32245.641,7216.554
CO2,2011,33373.933,6891.294
CO2,2012,33860.642,7276.895
CO2,2013,34165.624,7048.643
CO2,2014,34349.847,7149.935
CO2,2015,34250.908,7269.874
CO2,2016,34223.751,6171.558
CO2,2017,34773.494,6209.425
CO2,2018,35497.627,5686.550
CO2,2019,35846.993,5609.766
CO2,2020,34318.679,5236.246
CO2,2021,35987.781,5194.147
CO2,2022,36562.102,5345.942
CO2,2023,37011.290,5288.645
CO2,2024,37406.114,5141.759
GHG,1850,682.324,3610.987
GHG,1851,685.457,3723.712
GHG,1852,697.463,3826.248
GHG,1853,711.148,3850.251
GHG,1854,757.978,3896.011
GHG,1855,766.178,3953.834
GHG,1856,789.306,3975.257
GHG,1857,794.628,4028.160
GHG,1858,801.169,4053.865
GHG,1859,823.745,4102.007
GHG,1860,860.724,3846.384
GHG,1861,881.824,3721.601
GHG,1862,890.968,3651.974
GHG,1863,921.593,3627.063
GHG,1864,958.027,3655.369
GHG,1865,989.052,3581.581
GHG,1866,1009.415,3598.907
GHG,1867,1045.035,3557.493
GHG,1868,1061.443,3550.307
GHG,1869,1097.712,3547.657
GHG,1870,1112.025,3907.805
GHG,1871,1152.019,4002.960
GHG,1872,1224.953,4175.981
GHG,1873,1272.995,4241.911
GHG,1874,1229.371,4359.367
GHG,1875,1291.436,4397.720
GHG,1876,1305.289,4470.020
GHG,1877,1323.769,4575.742
GHG,1878,1332.964,4646.120
GHG,1879,1391.867,4717.044
GHG,1880,1504.962,4762.918
GHG,1881,1542.901,4755.430
GHG,1882,1601.212,4847.656
GHG,1883,1670.886,4919.702
GHG,1884,1685.069,4936.385
GHG,1885,1694.938,4953.407
GHG,1886,1713.812,4959.725
GHG,1887,1773.906,5029.686
GHG,1888,1906.412,5032.556
GHG,1889,1909.768,5078.664
GHG,1890,2033.205,5377.745
GHG,1891,2105.440,5479.827
GHG,1892,2120.176,5467.866
GHG,1893,2101.183,5517.633
GHG,1894,2160.867,5614.947
GHG,1895,2258.699,5613.734
GHG,1896,2316.013,5641.293
GHG,1897,2401.554,5723.665
GHG,1898,2503.938,5751.573
GHG,1899,2684.132,5799.212
GHG,1900,2800.347,5844.528
GHG,1901,2874.127,5981.995
GHG,1902,2933.540,6037.348
GHG,1903,3146.720,6085.977
GHG,1904,3178.623,6208.315
GHG,1905,3345.483,6252.843
GHG,1906,3477.172,6333.424
GHG,1907,3874.967,6349.025
GHG,1908,3751.105,6409.766
GHG,1909,3887.693,6501.502
GHG,1910,4049.239,6313.129
GHG,1911,4109.805,6293.585
GHG,1912,4282.544,6209.520
GHG,1913,4587.299,6178.008
GHG,1914,4225.672,6200.487
GHG,1915,4177.269,6143.879
GHG,1916,4463.461,6148.671
GHG,1917,4642.881,6083.483
GHG,1918,4575.602,6057.541
GHG,1919,4070.495,6041.760
GHG,1920,4632.891,6448.102
GHG,1921,4143.663,6676.362
GHG,1922,4329.344,6767.033
GHG,1923,4833.576,6898.444
GHG,1924,4861.062,6864.004
GHG,1925,4894.959,7018.628
GHG,1926,4825.814,7055.441
GHG,1927,5221.013,7079.513
GHG,1928,5207.072,7153.504
GHG,1929,5543.641,7227.197
GHG,1930,5201.784,7299.660
GHG,1931,4752.933,7403.960
GHG,1932,4387.240,7462.240
GHG,1933,4587.014,7434.416
GHG,1934,4932.923,7504.141
GHG,1935,5149.423,7457.361
GHG,1936,5580.266,7613.728
GHG,1937,5911.520,7618.210
GHG,1938,5631.027,7682.441
GHG,1939,5908.082,7677.075
GHG,1940,6367.352,7810.071
GHG,1941,6511.708,7996.225
GHG,1942,6509.471,8069.150
GHG,1943,6644.220,8132.126
GHG,1944,6755.951,8148.351
GHG,1945,5824.276,8275.857
GHG,1946,6216.509,8331.027
GHG,1947,6861.493,8368.520
GHG,1948,7171.900,8395.713
GHG,1949,6947.249,8421.170
GHG,1950,7599.288,9440.970
GHG,1951,8100.137,10038.694
GHG,1952,8229.638,10145.891
GHG,1953,8461.370,10331.163
GHG,1954,8657.913,10807.726
GHG,1955,9448.158,11049.228
GHG,1956,10007.871,11171.938
GHG,1957,10342.650,11449.967
GHG,1958,10645.311,11443.690
GHG,1959,11237.226,11988.868
GHG,1960,11843.318,10977.117
GHG,1961,11887.087,11069.278
GHG,1962,12259.564,10649.729
GHG,1963,12892.335,10506.213
GHG,1964,13502.591,10282.366
GHG,1965,14106.557,10075.261
GHG,1966,14809.685,9695.234
GHG,1967,15195.993,10109.025
GHG,1968,15919.929,10254.530
GHG,1969,16943.989,10901.041
GHG,1970,18120.605,10764.236
GHG,1971,18734.455,10190.621
GHG,1972,19518.859,10583.327
GHG,1973,20494.246,10460.399
GHG,1974,20444.438,10558.981
GHG,1975,20483.445,10505.959
GHG,1976,21442.778,10500.637
GHG,1977,22001.311,11125.571
GHG,1978,22719.337,11081.990
GHG,1979,23319.626,10480.161
GHG,1980,23124.107,10711.973
GHG,1981,22463.713,10488.410
GHG,1982,22383.904,10285.062
GHG,1983,22606.344,10602.439
GHG,1984,23228.846,11206.813
GHG,1985,23944.572,11620.433
GHG,1986,24297.213,11794.085
GHG,1987,24903.052,11385.583
GHG,1988,25803.922,11044.581
GHG,1989,26155.215,10954.531
GHG,1990,26655.504,10909.530
GHG,1991,27090.525,10790.276
GHG,1992,26424.116,11023.335
GHG,1993,26657.430,10760.512
GHG,1994,26914.688,11741.814
GHG,1995,27517.641,11406.673
GHG,1996,28291.988,11696.410
GHG,1997,28406.631,13103.942
GHG,1998,28191.363,11932.690
GHG,1999,28683.447,11760.735
GHG,2000,29440.816,11338.997
GHG,2001,29596.705,10647.008
GHG,2002,30067.026,11339.587
GHG,2003,31629.436,12559.831
GHG,2004,32611.591,11791.744
GHG,2005,33668.072,11320.914
GHG,2006,34715.849,11483.450
GHG,2007,35601.315,11113.930
GHG,2008,36172.463,11473.807
GHG,2009,35597.821,12063.654
GHG,2010,37485.040,12097.325
GHG,2011,38808.941,12104.470
GHG,2012,39357.577,12408.116
GHG,2013,39654.550,12012.989
GHG,2014,39899.899,12163.638
GHG,2015,39799.989,12294.993
GHG,2016,39787.487,11200.928
GHG,2017,40455.906,11223.938
GHG,2018,41339.115,10777.740
GHG,2019,41777.728,10773.126
GHG,2020,40071.573,10510.363
GHG,2021,41923.686,10696.719
GHG,2022,42666.630,10829.084
GHG,2023,43254.789,10817.916
GHG,2024,43694.413,10719.229
