year,annex2_co2_excLUC,annex1_co2_excLUC,world_co2_excLUC,annex2_co2_incLUC,annex1_co2_incLUC,world_co2_incLUC,annex2_ghg_excLUC,annex1_ghg_excLUC,world_ghg_excLUC,annex2_ghg_incLUC,annex1_ghg_incLUC,world_ghg_incLUC
1884,0.007627,0.007971,0.008002,0.035407,0.046679,0.054712,0.013991,0.015807,0.016432,0.049359,0.064434,0.074994
1885,0.008055,0.008427,0.008460,0.036856,0.048555,0.056242,0.014635,0.016542,0.017172,0.051331,0.066988,0.077277
1886,0.008490,0.008890,0.008925,0.038310,0.050428,0.058315,0.015280,0.017277,0.017938,0.053307,0.069543,0.080138
1887,0.008947,0.009376,0.009413,0.039815,0.052347,0.059842,0.015954,0.018044,0.018737,0.055348,0.072160,0.082502
1888,0.009453,0.009914,0.009954,0.041356,0.054309,0.062093,0.016701,0.018887,0.019625,0.057455,0.074854,0.085639
1889,0.009957,0.010451,0.010496,0.042894,0.056278,0.064356,0.017436,0.019722,0.020505,0.059556,0.077553,0.088790
1890,0.010506,0.011037,0.011084,0.044554,0.058418,0.066257,0.018242,0.020634,0.021423,0.061816,0.080467,0.091489
1891,0.011080,0.011650,0.011701,0.046266,0.060622,0.068766,0.019076,0.021579,0.022417,0.064137,0.083454,0.094949
1892,0.011658,0.012268,0.012323,0.047968,0.062821,0.071270,0.019898,0.022514,0.023400,0.066433,0.086425,0.098395
1893,0.012225,0.012878,0.012937,0.049671,0.065022,0.073782,0.020686,0.023420,0.024357,0.068711,0.089384,0.101838
1894,0.012813,0.013510,0.013573,0.051408,0.067282,0.076066,0.021521,0.024373,0.025357,0.071054,0.092430,0.105022
1895,0.013434,0.014179,0.014246,0.053180,0.069570,0.078578,0.022394,0.025374,0.026392,0.073442,0.095522,0.108410
1896,0.014075,0.014870,0.014942,0.054974,0.071883,0.081212,0.023295,0.026405,0.027476,0.075865,0.098652,0.112040
1897,0.014744,0.015593,0.015671,0.056815,0.074256,0.083910,0.024236,0.027484,0.028610,0.078349,0.101861,0.115757
1898,0.015447,0.016357,0.016440,0.058684,0.076670,0.086654,0.025228,0.028624,0.029804,0.080880,0.105136,0.119550
