measure,year,annex_2,annex_1,non_annex_1,world
ghg_excLUC,1961,10.783,9.787,1.286,3.885
co2_excLUC,1961,8.996,8.071,0.755,2.991
co2_incLUC,1961,10.152,10.112,4.117,5.949
ghg_incLUC,1962,13.838,13.163,4.812,7.346
ghg_excLUC,1962,11.141,10.123,1.233,3.931
co2_excLUC,1962,9.298,8.359,0.720,3.039
co2_incLUC,1962,10.484,10.033,3.875,5.744
ghg_incLUC,1963,14.104,13.452,4.716,7.340
ghg_excLUC,1963,11.572,10.550,1.252,4.044
co2_excLUC,1963,9.662,8.729,0.729,3.132
co2_incLUC,1963,10.680,10.211,3.765,5.701
ghg_incLUC,1964,14.456,13.725,4.582,7.297
ghg_excLUC,1964,11.976,10.949,1.267,4.143
co2_excLUC,1964,10.011,9.083,0.751,3.225
co2_incLUC,1964,11.016,10.457,3.549,5.601
ghg_incLUC,1965,14.721,13.948,4.481,7.263
ghg_excLUC,1965,12.254,11.226,1.329,4.237
co2_excLUC,1965,10.238,9.323,0.794,3.301
co2_incLUC,1965,11.229,10.620,3.409,5.528
ghg_incLUC,1966,14.933,14.123,4.376,7.210
ghg_excLUC,1966,12.613,11.560,1.405,4.357
co2_excLUC,1966,10.548,9.624,0.831,3.388
co2_incLUC,1966,11.354,10.708,3.216,5.394
ghg_incLUC,1967,15.952,14.922,4.218,7.297
ghg_excLUC,1967,12.926,11.848,1.367,4.382
co2_excLUC,1967,10.812,9.882,0.812,3.421
co2_incLUC,1967,12.582,11.662,3.054,5.530
ghg_incLUC,1968,16.611,15.511,4.168,7.395
ghg_excLUC,1968,13.454,12.274,1.407,4.498
co2_excLUC,1968,11.275,10.269,0.858,3.535
co2_incLUC,1968,13.209,12.268,2.962,5.609
ghg_incLUC,1969,16.776,15.666,4.591,7.705
ghg_excLUC,1969,14.098,12.813,1.511,4.689
co2_excLUC,1969,11.848,10.765,0.929,3.694
co2_incLUC,1969,13.045,12.160,3.490,5.927
ghg_incLUC,1970,17.151,16.142,4.632,7.830
ghg_excLUC,1970,14.747,13.386,1.652,4.912
co2_excLUC,1970,12.569,11.391,1.047,3.921
co2_incLUC,1970,13.439,12.694,3.398,5.981
ghg_incLUC,1971,17.192,16.152,4.476,7.684
ghg_excLUC,1971,14.807,13.563,1.724,4.977
co2_excLUC,1971,12.649,11.577,1.125,3.997
co2_incLUC,1971,13.444,12.656,3.294,5.867
ghg_incLUC,1972,17.453,16.432,4.632,7.841
ghg_excLUC,1972,15.226,13.975,1.764,5.084
co2_excLUC,1972,13.077,11.984,1.153,4.099
co2_incLUC,1972,13.620,12.837,3.568,6.088
ghg_incLUC,1973,17.901,16.886,4.603,7.907
ghg_excLUC,1973,15.730,14.436,1.849,5.235
co2_excLUC,1973,13.566,12.418,1.215,4.228
co2_incLUC,1973,14.055,13.265,3.453,6.092
ghg_incLUC,1974,17.432,16.656,4.548,7.770
ghg_excLUC,1974,15.213,14.172,1.843,5.123
co2_excLUC,1974,13.104,12.180,1.222,4.138
co2_incLUC,1974,13.601,13.005,3.405,5.959
ghg_incLUC,1975,16.840,16.366,4.502,7.624
ghg_excLUC,1975,14.564,13.882,1.881,5.039
co2_excLUC,1975,12.509,11.916,1.268,4.070
co2_incLUC,1975,13.057,12.746,3.304,5.789
ghg_incLUC,1976,17.419,16.916,4.482,7.720
ghg_excLUC,1976,15.130,14.396,1.938,5.182
