year,annex2_OWID,annex1_OWID,nona1_OWID,annex2_PRIMAP,annex1_PRIMAP,nona1_PRIMAP,annex2_GCP_fossil,annex1_GCP_fossil,nona1_GCP_fossil,annex2_GCP_BLUE,annex1_GCP_BLUE,nona1_GCP_BLUE,annex2_GCP_OSCAR,annex1_GCP_OSCAR,nona1_GCP_OSCAR,annex2_GCP_LUCE,annex1_GCP_LUCE,nona1_GCP_LUCE,annex2_EDGAR,annex1_EDGAR,nona1_EDGAR,annex2_ClimateWatch,annex1_ClimateWatch,nona1_ClimateWatch
1913,5962.051,7357.882,1482.179,4872.309,5517.787,1177.933,,,,5962.051,7357.882,1482.179,5274.670,6107.559,1283.795,5699.818,7023.427,1166.234,,,,,,
1914,5692.778,6974.017,1527.703,4556.905,5172.353,1142.947,,,,5692.778,6974.017,1527.703,4974.565,5761.721,1327.505,5440.300,6663.698,1204.549,,,,,,
1915,5596.399,6791.265,1566.986,4496.100,5104.069,1118.128,,,,5596.399,6791.265,1566.986,4895.829,5664.685,1362.707,5345.342,6484.707,1220.400,,,,,,
1916,5792.691,6998.355,1582.929,4736.544,5367.282,1114.055,,,,5792.691,6998.355,1582.929,5092.684,5914.613,1386.501,5534.694,6687.130,1242.129,,,,,,
1917,5957.869,7021.874,1606.651,4865.584,5495.468,1130.251,,,,5957.869,7021.874,1606.651,5254.677,6009.925,1427.172,5717.127,6714.843,1254.556,,,,,,
1918,5939.878,6893.186,1635.203,4835.886,5436.261,1152.915,,,,5939.878,6893.186,1635.203,5226.484,5896.424,1454.297,5723.670,6601.696,1276.283,,,,,,
1919,5533.530,6352.612,1656.977,4413.306,4940.497,1182.877,,,,5533.530,6352.612,1656.977,4808.563,5407.436,1493.192,5311.253,6063.456,1294.121,,,,,,
1920,6220.999,7305.519,1838.185,4801.488,5408.173,1236.132,,,,6220.999,7305.519,1838.185,5206.788,5942.428,1580.193,5847.659,6842.412,1450.616,,,,,,
1921,5907.048,7063.965,1928.913,4321.559,4936.720,1430.069,,,,5907.048,7063.965,1928.913,4862.870,5634.777,1614.104,5469.577,6527.572,1521.201,,,,,,
1922,6134.935,7314.839,1946.707,4397.164,5021.279,1486.712,,,,6134.935,7314.839,1946.707,5039.100,5817.754,1612.306,5663.328,6741.584,1519.200,,,,,,
1923,6627.589,7865.069,1999.592,4833.051,5452.922,1538.649,,,,6627.589,7865.069,1999.592,5481.699,6283.962,1660.177,6104.788,7233.199,1559.552,,,,,,
1924,6631.856,7825.950,2030.438,4804.344,5446.557,1586.981,,,,6631.856,7825.950,2030.438,5456.641,6192.544,1683.971,6087.457,7166.707,1577.999,,,,,,
1925,6707.181,7985.729,2043.022,4834.877,5479.787,1615.942,,,,6707.181,7985.729,2043.022,5529.733,6328.907,1702.125,6148.948,7318.030,1577.351,,,,,,
1926,6620.554,7949.965,2051.244,4719.827,5421.975,1623.444,,,,6620.554,7949.965,2051.244,5402.928,6233.566,1722.399,6053.893,7278.825,1580.833,,,,,,
1927,6910.763,8291.409,2055.976,5176.935,5931.671,1632.025,,,,6910.763,8291.409,2055.976,5702.117,6570.566,1716.759,6334.058,7615.323,1587.671,,,,,,
1928,6912.739,8320.939,2077.009,5128.017,5905.834,1638.122,,,,6912.739,8320.939,2077.009,5679.891,6558.744,1744.067,6336.366,7650.754,1601.847,,,,,,
1929,7165.737,8668.575,2082.021,5492.914,6302.774,1653.598,,,,7165.737,8668.575,2082.021,5922.500,6888.620,1762.634,6582.265,7997.252,1596.612,,,,,,
1930,6722.016,8461.506,2007.969,5399.167,6232.153,1660.818,,,,6722.016,8461.506,2007.969,5555.817,6594.268,1752.626,6177.386,7810.064,1544.313,,,,,,
1931,6309.226,8159.459,1965.479,4926.171,5790.609,1701.382,,,,6309.226,8159.459,1965.479,5194.546,6288.782,1722.395,5790.642,7530.550,1505.329,,,,,,
1932,5909.655,7825.366,1984.624,4173.506,5045.214,1720.642,,,,5909.655,7825.366,1984.624,4849.757,5955.032,1753.206,5396.717,7209.226,1526.349,,,,,,
1933,6012.839,7947.211,1973.840,4287.700,5184.252,1746.118,,,,6012.839,7947.211,1973.840,4979.100,6081.303,1755.593,5512.089,7344.916,1526.723,,,,,,
1934,6227.347,8249.005,2019.477,4489.085,5440.164,1758.369,,,,6227.347,8249.005,2019.477,5235.348,6366.271,1815.835,5726.570,7648.046,1570.785,,,,,,
1935,6240.773,8348.956,2029.309,4609.326,5596.134,1791.387,,,,6240.773,8348.956,2029.309,5282.635,6483.139,1842.258,5732.088,7735.356,1579.395,,,,,,
1936,6599.721,8837.021,2046.882,4953.238,5992.888,1821.209,,,,6599.721,8837.021,2046.882,5680.381,6979.814,1858.118,6084.459,8213.449,1598.505,,,,,,
1937,6819.808,9087.529,2070.316,5140.917,6193.771,1848.574,,,,6819.808,9087.529,2070.316,5917.434,7222.028,1893.554,6293.602,8450.990,1617.571,,,,,,
1938,6535.837,8870.149,2051.333,4844.166,5922.561,1850.469,,,,6535.837,8870.149,2051.333,5674.142,7018.197,1892.970,5996.339,8219.801,1607.375,,,,,,
1939,6717.340,9056.378,2071.913,5081.122,6151.795,1890.905,,,,6717.340,9056.378,2071.913,5890.043,7218.594,1926.575,6164.630,8392.762,1622.868,,,,,,
1940,7076.710,9212.389,2503.036,5203.305,6478.673,1906.242,,,,7076.710,9212.389,2503.036,6099.088,7538.541,2073.514,6466.431,8519.276,2005.441,,,,,,
1941,7367.457,9260.127,2723.896,5371.577,6520.124,1909.309,,,,7367.457,9260.127,2723.896,6312.047,7665.742,2213.616,6725.143,8591.625,2180.207,,,,,,
1942,7561.828,9118.721,2863.850,5572.838,6581.213,1969.598,,,,7561.828,9118.721,2863.850,6460.073,7589.908,2287.492,6893.430,8467.354,2298.252,,,,,,
1943,7684.206,9157.331,2930.279,5587.173,6681.012,2009.182,,,,7684.206,9157.331,2930.279,6506.386,7642.569,2310.492,6994.505,8509.226,2318.420,,,,,,
1944,7701.215,9111.531,2984.176,5532.779,6552.417,2089.719,,,,7701.215,9111.531,2984.176,6508.850,7696.318,2355.521,6973.300,8441.338,2333.840,,,,,,
1945,7034.822,8228.654,3012.262,4783.877,5619.022,2132.963,,,,7034.822,8228.654,3012.262,5819.877,6891.026,2359.619,6296.885,7558.401,2362.638,,,,,,
1946,7202.473,8394.723,3112.157,5203.799,6137.002,2368.965,,,,7202.473,8394.724,3112.157,5939.869,7104.535,2471.357,6476.041,7745.296,2431.670,,,,,,
1947,7028.688,8200.015,3785.042,5356.408,6370.958,2830.415,,,,7028.688,8200.015,3785.042,6161.023,7386.199,2744.120,6580.406,7837.881,2824.160,,,,,,
1948,7270.380,8396.047,3807.974,5585.352,6639.878,2894.557,,,,7270.379,8396.047,3807.974,6394.661,7640.483,2748.902,6814.460,8035.034,2839.375,,,,,,
1949,6558.012,7676.869,4194.240,4988.821,6141.265,3283.000,,,,6558.012,7676.869,4194.240,5811.162,7123.468,3047.573,6138.363,7360.036,3211.052,,,,,,
1950,7205.277,8717.374,5048.639,5495.441,6732.259,3233.309,,,,7205.277,8717.374,5048.639,6373.444,7897.067,3446.122,6695.574,8280.678,3924.594,,,,,,
1951,7492.233,9265.422,5614.942,5972.940,7696.301,3556.547,,,,7492.233,9265.422,5614.942,6685.496,8382.605,3808.199,6965.849,8805.714,4348.410,,,,,,
1952,7518.398,9466.748,5592.551,5747.819,7635.517,3813.902,,,,7518.398,9466.748,5592.551,6611.298,8417.736,3910.747,6950.472,8958.481,4291.566,,,,,,
1953,7577.743,9711.633,5715.120,5739.246,7786.111,3854.017,,,,7577.742,9711.633,5715.120,6647.469,8544.053,3984.157,6988.114,9166.853,4446.759,,,,,,
1954,7571.094,9911.259,6254.203,5717.328,7951.757,4061.520,,,,7571.094,9911.258,6254.203,6600.447,8646.420,4214.998,6968.660,9346.966,4879.486,,,,,,
1955,8050.906,10622.732,6385.596,6120.275,8589.665,4271.661,,,,8050.906,10622.732,6385.585,7006.430,9243.847,4418.844,7428.944,10041.656,4992.410,,,,,,
1956,8313.764,11072.815,6477.241,6449.026,9142.855,4449.488,,,,8313.764,11072.815,6477.230,7264.201,9641.829,4547.163,7669.456,10472.904,5097.772,,,,,,
1957,8300.540,11261.901,6813.335,6397.124,9331.693,4665.034,,,,8300.540,11261.901,6813.320,7230.153,9758.620,4752.509,7692.191,10706.834,5386.935,,,,,,
1958,8120.764,11228.142,6989.208,6376.296,9506.164,4975.229,,,,8120.764,11228.142,6989.193,7013.689,9693.987,5084.849,7497.498,10644.757,5577.594,,,,,,
1959,8206.886,11910.600,7376.384,6366.880,9342.295,5171.708,,,,8206.886,11910.600,7376.370,7108.770,9943.441,5479.275,7576.255,11204.435,6040.378,,,,,,
1960,7259.668,10521.810,7582.792,6444.946,9531.203,5478.834,,,,7259.668,10521.810,7582.777,6817.763,9748.338,5873.201,6874.483,10235.859,6275.082,,,,,,
1961,6976.242,10309.273,7895.631,6459.236,9605.856,5716.964,,,,6976.242,10309.273,7895.580,6754.898,9745.247,5794.574,6720.680,10147.093,6411.387,,,,,,
1962,7134.794,10189.850,7723.402,6757.810,10018.932,5668.621,,,,7134.794,10189.850,7723.351,6919.470,9788.897,5711.812,6996.569,10182.466,6201.004,,,,,,
1963,7276.381,10394.249,7778.655,7107.049,10532.406,5825.221,,,,7276.381,10394.249,7778.600,7132.120,10146.723,5800.174,7148.609,10443.098,6196.800,,,,,,
1964,7485.994,10647.916,7606.901,7366.728,10952.127,6007.318,,,,7485.994,10647.916,7606.842,7324.636,10418.312,5883.984,7409.194,10754.077,6157.429,,,,,,
1965,7675.661,10874.127,7529.897,7617.037,11333.341,6231.685,,,,7675.661,10874.127,7529.831,7527.722,10736.108,5822.219,7618.550,10997.178,6112.843,,,,,,
1966,7825.329,11057.409,7276.646,7985.016,11810.987,6455.748,,,,7825.329,11057.409,7276.580,7726.999,10998.375,5792.734,7818.920,11224.326,5894.086,,,,,,
1967,8737.210,12113.150,7065.860,8259.946,12173.162,6464.705,,,,8737.210,12113.150,7065.787,8103.326,11476.792,5654.986,8719.663,12249.010,5733.287,,,,,,
1968,9258.189,12846.517,7007.192,8671.070,12656.920,6442.320,,,,9258.189,12846.516,7007.115,8532.864,12042.467,5793.761,9229.779,12925.389,5847.451,,,,,,
1969,9256.273,12881.459,8539.650,9230.295,13337.560,6679.841,,,,9256.273,12881.459,8539.519,8977.293,12628.141,6377.352,9312.190,13067.122,7322.069,,,,,,
1970,9592.461,13525.339,8538.667,9787.513,13940.646,7051.958,,,,9592.461,13525.339,8538.463,9446.715,13361.298,7011.409,9649.251,13667.355,7304.920,,,,,,
1971,9645.781,13580.427,8503.205,9620.812,13858.148,7106.188,,,,9645.781,13580.427,8502.956,9574.840,13513.672,7006.972,9785.627,13802.445,7092.709,,,,,,
