measure,year,usa,euro_a2,other_a2,other_ai,chn,ind,nai_g20,other_non_ai
co2_excLUC,1850,19.793,173.474,0.171,3.300,,,,0.110
co2_excLUC,1851,24.633,170.125,0.176,3.734,,,,0.110
co2_excLUC,1852,26.791,175.959,0.190,4.474,,,,0.181
co2_excLUC,1853,30.162,182.043,0.255,4.661,,,,0.117
co2_excLUC,1854,33.159,216.352,0.308,5.214,,,,0.005
co2_excLUC,1855,38.161,215.163,0.366,6.371,,,,0.199
co2_excLUC,1856,40.037,229.988,0.478,6.793,,,0.252,0.697
co2_excLUC,1857,41.055,231.068,0.547,7.262,,,0.317,0.932
co2_excLUC,1858,41.649,233.010,0.604,8.506,,0.394,0.353,1.031
co2_excLUC,1859,45.320,246.334,0.800,8.326,,0.636,0.415,0.741
co2_excLUC,1860,47.438,272.561,0.981,9.245,,0.643,0.481,0.949
co2_excLUC,1861,45.679,290.214,1.019,10.256,,0.497,0.472,1.052
co2_excLUC,1862,47.449,292.896,1.348,12.137,,0.550,0.430,1.181
co2_excLUC,1863,54.810,307.138,1.424,14.085,,0.610,0.509,0.959
co2_excLUC,1864,58.657,330.665,1.746,15.954,,0.577,0.538,1.389
co2_excLUC,1865,58.822,353.422,1.992,17.935,,0.567,0.681,1.432
co2_excLUC,1866,59.232,363.637,2.522,20.138,,0.640,0.823,2.075
co2_excLUC,1867,72.866,379.499,2.834,22.522,,,0.672,2.422
co2_excLUC,1868,82.352,381.770,2.489,24.574,,,0.915,2.393
co2_excLUC,1869,93.696,398.852,2.168,26.741,,,0.783,2.491
co2_excLUC,1870,98.620,402.806,2.644,28.728,,,0.869,2.456
co2_excLUC,1871,103.021,426.523,3.247,33.372,,,1.031,2.583
co2_excLUC,1872,126.305,460.755,3.516,35.976,,,1.053,3.355
co2_excLUC,1873,139.507,484.549,3.579,38.144,,,1.250,3.438
co2_excLUC,1874,134.297,443.256,4.335,41.493,,,1.253,4.029
co2_excLUC,1875,135.748,492.288,5.459,42.639,,,1.107,3.808
co2_excLUC,1876,132.820,495.725,5.419,51.599,,,1.008,4.012
co2_excLUC,1877,147.176,494.874,5.684,51.427,,,1.026,3.846
co2_excLUC,1878,143.904,496.289,6.709,55.681,,1.767,1.092,4.208
co2_excLUC,1879,175.469,510.351,7.583,59.236,,1.684,1.080,4.391
co2_excLUC,1880,198.856,578.245,10.654,62.491,,1.887,1.206,4.888
co2_excLUC,1881,210.401,593.344,11.647,64.461,,1.839,1.397,5.083
co2_excLUC,1882,235.664,613.372,13.409,66.820,,2.196,1.371,5.326
co2_excLUC,1883,254.231,645.190,15.216,73.556,,2.441,1.735,5.495
co2_excLUC,1884,267.922,637.954,17.147,76.182,,2.730,2.034,5.794
co2_excLUC,1885,272.507,636.400,17.593,80.232,,2.459,2.077,6.221
co2_excLUC,1886,287.837,633.418,18.412,82.498,,2.772,2.156,5.895
co2_excLUC,1887,307.937,658.054,20.884,85.259,,3.066,2.744,6.340
co2_excLUC,1888,374.415,695.156,25.453,92.390,,3.410,2.795,7.723
co2_excLUC,1889,336.124,725.516,25.109,99.199,,4.022,4.261,7.867
co2_excLUC,1890,402.412,756.422,26.043,106.177,,4.432,3.934,7.837
co2_excLUC,1891,428.107,779.128,30.441,113.908,,4.772,4.578,8.664
co2_excLUC,1892,451.177,765.435,29.927,113.891,,5.247,6.122,8.737
co2_excLUC,1893,454.759,732.782,30.743,122.000,,5.543,7.263,10.089
co2_excLUC,1894,425.745,802.988,33.335,124.663,,5.617,8.725,11.156
co2_excLUC,1895,480.673,817.992,34.132,134.292,,7.035,10.142,11.698
co2_excLUC,1896,481.673,855.526,36.501,140.326,,7.608,11.665,12.152
co2_excLUC,1897,501.200,894.119,38.124,151.102,,8.253,13.166,12.441
co2_excLUC,1898,546.327,914.817,43.490,163.930,,9.125,14.865,14.413
co2_excLUC,1899,626.823,974.250,47.315,174.839,,10.054,15.158,15.985
co2_excLUC,1900,664.132,1020.534,52.648,184.927,,11.929,11.342,17.372
co2_excLUC,1901,723.192,1002.152,61.299,192.620,,13.179,15.074,18.112
co2_excLUC,1902,766.652,1006.955,65.029,188.842,,14.515,17.045,17.918
co2_excLUC,1903,896.953,1052.920,68.141,192.083,,14.802,21.532,18.161
co2_excLUC,1904,884.803,1067.103,77.126,201.204,,16.561,24.291,19.166
co2_excLUC,1905,989.991,1104.253,80.910,201.508,,16.930,27.845,19.133
co2_excLUC,1906,1039.964,1129.267,88.462,218.032,,19.549,31.834,21.870
co2_excLUC,1907,1208.486,1253.711,101.635,239.185,19.894,21.772,34.278,25.988
co2_excLUC,1908,1057.522,1270.159,105.985,246.920,22.736,24.908,35.243,26.923
co2_excLUC,1909,1171.651,1263.490,102.487,255.358,24.252,24.142,37.447,28.285
co2_excLUC,1910,1278.530,1286.691,113.616,251.892,25.009,23.487,41.975,29.074
co2_excLUC,1911,1265.776,1311.695,128.615,262.614,24.631,24.782,48.053,31.042
co2_excLUC,1912,1351.018,1343.051,142.625,289.259,17.029,28.521,48.126,34.301
co2_excLUC,1913,1450.855,1457.180,160.612,308.080,24.252,31.466,53.957,38.443
co2_excLUC,1914,1325.944,1305.263,156.401,269.238,26.718,31.698,49.328,33.159
co2_excLUC,1915,1375.452,1235.379,141.159,257.487,25.421,33.141,49.085,30.908
co2_excLUC,1916,1527.240,1282.115,159.947,278.478,30.131,33.517,53.960,34.845
co2_excLUC,1917,1679.331,1253.745,178.678,279.054,32.023,35.019,63.204,35.445
co2_excLUC,1918,1754.117,1194.552,188.970,199.617,34.748,39.359,65.995,28.727
co2_excLUC,1919,1486.433,1092.785,181.599,89.518,37.997,42.974,79.544,30.263
co2_excLUC,1920,1747.167,1218.853,188.522,162.882,40.278,34.867,121.207,32.980
co2_excLUC,1921,1432.479,1097.289,174.577,165.788,38.763,37.505,133.280,35.312
co2_excLUC,1922,1446.013,1237.389,169.122,168.199,39.972,36.903,126.717,40.403
co2_excLUC,1923,1909.034,1185.436,198.409,157.780,46.518,37.971,121.541,46.306
co2_excLUC,1924,1711.687,1378.883,188.912,172.020,48.846,40.627,122.534,52.634
co2_excLUC,1925,1758.185,1365.354,190.980,169.355,45.955,40.084,113.126,57.594
co2_excLUC,1926,1906.048,1124.594,201.220,195.664,43.660,39.942,102.550,63.728
co2_excLUC,1927,1862.839,1449.956,217.246,231.409,45.809,41.883,93.944,69.861
co2_excLUC,1928,1830.965,1440.383,219.901,248.783,47.591,40.072,87.300,81.315
co2_excLUC,1929,1963.506,1556.415,225.711,276.690,48.282,41.707,90.866,85.033
co2_excLUC,1930,1744.916,1447.431,211.278,289.292,49.558,42.399,85.775,87.444
co2_excLUC,1931,1484.959,1309.270,180.543,312.087,51.905,38.850,76.779,84.926
co2_excLUC,1932,1257.814,1193.917,174.777,314.033,50.269,36.129,74.201,91.451
co2_excLUC,1933,1348.877,1221.694,189.153,332.905,54.111,35.467,79.707,100.769
co2_excLUC,1934,1436.239,1318.270,211.308,383.740,62.383,39.610,87.231,117.406
co2_excLUC,1935,1492.321,1367.280,218.287,418.963,72.646,41.393,93.915,130.936
co2_excLUC,1936,1713.412,1426.593,238.702,469.476,75.477,40.684,100.507,143.078
co2_excLUC,1937,1792.610,1566.027,257.051,488.452,70.969,45.067,110.812,165.725
co2_excLUC,1938,1515.750,1546.562,255.221,518.045,61.366,50.379,113.945,168.350
co2_excLUC,1939,1670.920,1591.491,265.196,519.161,74.427,49.311,116.560,183.065
co2_excLUC,1940,1874.985,1532.193,301.971,714.267,90.791,52.309,117.880,200.265
co2_excLUC,1941,2043.585,1515.101,319.092,659.557,113.979,53.580,116.449,177.748
co2_excLUC,1942,2198.265,1506.028,325.992,517.043,127.613,53.529,99.231,154.823
co2_excLUC,1943,2272.059,1491.003,335.264,551.102,108.995,46.644,110.490,159.717
co2_excLUC,1944,2444.904,1320.106,325.636,621.012,103.004,47.695,107.723,192.406
co2_excLUC,1945,2359.552,802.450,251.935,466.855,55.892,52.873,111.748,188.005
co2_excLUC,1946,2257.494,1115.760,239.401,565.266,36.107,52.224,129.814,212.479
co2_excLUC,1947,2485.854,1285.971,263.808,637.914,41.836,53.179,151.334,245.307
co2_excLUC,1948,2582.559,1396.220,299.104,678.969,38.400,53.203,147.955,251.473
co2_excLUC,1949,2164.862,1486.009,297.115,768.079,62.081,56.187,154.742,214.958
co2_excLUC,1950,2541.485,1538.604,320.879,832.948,78.835,60.943,158.157,267.842
co2_excLUC,1951,2618.704,1714.344,355.284,904.930,102.115,63.806,168.894,298.110
co2_excLUC,1952,2551.216,1730.899,361.497,972.105,128.003,67.249,185.260,313.343
co2_excLUC,1953,2612.971,1744.784,378.034,1037.959,133.786,68.608,186.283,324.935
co2_excLUC,1954,2489.462,1832.742,382.621,1126.097,160.881,72.307,197.720,363.823
co2_excLUC,1955,2728.508,1971.386,392.823,1248.056,190.521,78.694,225.577,420.251
co2_excLUC,1956,2859.988,2071.097,435.749,1357.473,215.828,81.619,241.288,461.153
co2_excLUC,1957,2835.772,2094.430,456.874,1480.616,255.789,91.618,255.233,491.277
co2_excLUC,1958,2747.108,2046.755,451.685,1566.719,524.624,95.801,266.720,509.671
co2_excLUC,1959,2831.908,2044.248,470.789,1648.270,720.163,101.436,277.663,546.852
co2_excLUC,1960,2897.308,2217.300,524.518,1724.824,798.811,111.320,293.115,583.103
co2_excLUC,1961,2886.862,2292.710,575.895,1793.157,570.641,120.399,311.640,602.170
co2_excLUC,1962,2993.898,2421.246,602.376,1894.518,459.625,132.580,323.151,648.799
co2_excLUC,1963,3126.484,2554.040,644.390,2031.873,456.787,142.439,332.355,694.372
co2_excLUC,1964,3264.306,2649.939,713.567,2164.621,460.644,139.483,357.648,762.896
co2_excLUC,1965,3399.539,2687.098,766.178,2268.446,500.294,153.697,372.248,841.154
co2_excLUC,1966,3571.417,2753.388,808.591,2376.755,549.467,159.371,396.071,899.153
co2_excLUC,1967,3705.461,2769.400,907.460,2475.371,460.233,159.557,440.402,946.716
co2_excLUC,1968,3840.923,2920.821,1008.071,2569.045,495.514,174.071,471.900,1030.738
co2_excLUC,1969,4035.156,3094.006,1111.643,2696.319,607.694,177.411,517.741,1109.325
co2_excLUC,1970,4339.704,3210.259,1273.023,2852.718,807.964,181.724,574.447,1224.730
co2_excLUC,1971,4365.483,3280.567,1318.131,3010.399,909.210,191.965,642.999,1326.051
co2_excLUC,1972,4573.034,3371.689,1411.655,3155.110,968.636,203.037,681.717,1369.983
co2_excLUC,1973,4777.725,3528.454,1483.907,3286.274,1008.269,209.096,760.532,1499.255
co2_excLUC,1974,4608.462,3434.356,1488.880,3399.729,1028.063,215.854,795.199,1540.994
co2_excLUC,1975,4414.455,3289.892,1457.977,3583.649,1183.154,234.210,813.112,1566.991
co2_excLUC,1976,4621.539,3511.404,1497.593,3741.474,1226.339,244.750,887.230,1696.009
co2_excLUC,1977,4749.501,3440.900,1545.571,3876.159,1340.715,258.962,961.057,1739.062
co2_excLUC,1978,4897.339,3524.528,1529.695,4011.006,1492.517,263.150,1025.640,1827.645
co2_excLUC,1979,4908.766,3668.169,1607.648,4037.536,1525.417,276.285,1123.221,1906.690
co2_excLUC,1980,4730.218,3536.609,1613.248,4175.273,1494.298,291.714,1189.281,1934.838
co2_excLUC,1981,4543.633,3354.009,1590.371,4071.865,1476.280,314.969,1229.091,1889.370
co2_excLUC,1982,4311.918,3229.744,1551.450,4148.940,1606.239,325.383,1263.239,1921.443
co2_excLUC,1983,4346.381,3177.190,1518.402,4204.730,1693.747,352.205,1255.466,1996.898
co2_excLUC,1984,4479.379,3186.980,1602.630,4245.983,1844.213,361.569,1294.714,2083.629
co2_excLUC,1985,4495.378,3254.132,1583.418,4509.150,1997.193,397.601,1354.380,2187.748
co2_excLUC,1986,4498.136,3240.122,1565.750,4542.641,2103.430,426.318,1428.079,2241.389
co2_excLUC,1987,4691.930,3258.670,1591.953,4562.760,2256.629,455.355,1454.895,2307.888
co2_excLUC,1988,4897.776,3249.498,1706.554,4602.697,2424.444,491.700,1522.996,2478.783
co2_excLUC,1989,4960.238,3329.456,1766.478,4500.591,2462.150,540.662,1551.486,2525.201
co2_excLUC,1990,5131.761,3487.492,1916.422,4572.125,2483.534,577.987,1547.998,2466.955
co2_excLUC,1991,5076.413,3518.193,1921.936,4283.803,2619.143,615.388,1697.958,2930.086
co2_excLUC,1992,5178.770,3445.848,1951.435,3722.405,2731.290,655.424,1764.112,2517.323
co2_excLUC,1993,5279.520,3386.778,1949.926,3515.147,2914.284,677.262,1863.292,2606.228
co2_excLUC,1994,5361.863,3385.232,2023.125,3166.409,3093.891,714.043,1928.847,2716.358
co2_excLUC,1995,5425.837,3420.298,2060.130,3120.444,3351.197,760.480,1967.206,2793.788
co2_excLUC,1996,5601.094,3502.691,2097.604,3096.563,3499.311,823.602,2069.383,2874.713
co2_excLUC,1997,5673.144,3440.126,2114.503,2964.318,3512.350,857.976,2143.059,2971.562
co2_excLUC,1998,5736.360,3489.122,2094.824,2883.905,3355.336,875.783,2056.508,3057.619
co2_excLUC,1999,5800.281,3472.866,2157.299,2830.104,3549.949,961.194,2176.511,3116.146
co2_excLUC,2000,6023.158,3496.774,2209.002,2815.765,3643.810,987.065,2283.980,3268.411
co2_excLUC,2001,5903.562,3552.297,2196.940,2867.391,3724.114,1001.198,2357.020,3312.967
co2_excLUC,2002,5947.819,3546.818,2236.621,2842.591,4098.181,1032.750,2370.694,3393.012
co2_excLUC,2003,6006.440,3607.377,2272.039,2933.721,4835.251,1068.398,2494.905,3605.298
co2_excLUC,2004,6111.545,3613.356,2273.219,2958.477,5210.961,1134.611,2648.380,3756.009
co2_excLUC,2005,6126.903,3604.433,2279.291,2997.658,5881.991,1195.393,2664.023,3910.032
co2_excLUC,2006,6045.326,3600.551,2258.433,3115.630,6486.185,1293.321,2759.301,4044.809
co2_excLUC,2007,6121.542,3528.753,2324.209,3163.257,6974.663,1393.485,2835.566,4109.526
co2_excLUC,2008,5919.221,3457.829,2244.666,3160.628,7492.404,1490.366,2935.352,4291.012
co2_excLUC,2009,5486.104,3177.763,2142.954,2939.435,7881.491,1613.328,2943.370,4314.520
co2_excLUC,2010,5669.250,3266.842,2205.211,3072.638,8610.048,1678.530,3145.501,4597.622
co2_excLUC,2011,5538.973,3115.632,2262.129,3169.502,9520.153,1765.695,3273.506,4728.344
co2_excLUC,2012,5331.467,3094.072,2304.805,3167.976,9767.311,1926.986,3401.538,4866.486
co2_excLUC,2013,5473.436,3033.700,2313.534,3061.716,9942.371,1995.337,3383.887,4961.642
co2_excLUC,2014,5531.385,2870.466,2253.219,3021.013,9976.027,2148.052,3423.251,5126.432
co2_excLUC,2015,5368.497,2904.191,2219.379,3006.781,9858.040,2231.817,3466.774,5195.429
co2_excLUC,2016,5245.362,2868.470,2197.441,3040.226,9748.175,2352.540,3444.700,5326.837
co2_excLUC,2017,5195.417,2853.677,2200.121,3112.713,10000.014,2425.722,3458.691,5527.138
co2_excLUC,2018,5361.236,2783.139,2164.108,3159.098,10346.790,2595.227,3511.022,5577.007
co2_excLUC,2019,5235.912,2658.189,2132.706,3090.289,10713.515,2611.175,3615.601,5789.607
co2_excLUC,2020,4689.954,2381.765,1994.148,2965.102,10896.521,2422.732,3351.350,5617.109
co2_excLUC,2021,5020.111,2523.090,2019.049,3104.740,11284.401,2675.778,3517.476,5843.135
co2_excLUC,2022,5055.403,2447.912,1993.347,2996.886,11711.808,2831.132,3578.299,5947.317
co2_excLUC,2023,4918.407,2259.947,1948.265,3022.502,12172.009,3062.756,3586.235,6041.169
co2_excLUC,2024,4904.120,2226.809,1914.419,3077.328,12289.037,3193.478,3642.922,6158.003
co2_incLUC,1850,781.132,405.234,104.569,803.946,194.760,277.320,170.350,895.431
co2_incLUC,1851,846.440,392.022,109.322,809.817,190.902,213.774,231.629,990.033
co2_incLUC,1852,876.400,390.680,113.123,850.142,184.384,180.308,276.599,1042.298
co2_incLUC,1853,924.091,392.753,116.185,826.144,176.293,160.908,289.409,1083.757
co2_incLUC,1854,954.725,423.599,120.690,853.128,171.671,147.185,296.373,1090.640
co2_incLUC,1855,976.434,416.494,126.022,858.374,166.042,136.086,332.964,1119.208
co2_incLUC,1856,995.899,425.898,125.153,864.335,160.175,128.613,322.883,1150.456
co2_incLUC,1857,1020.175,422.760,128.249,874.991,156.438,125.334,328.905,1166.271
co2_incLUC,1858,1049.084,420.427,130.722,876.586,150.384,120.039,339.845,1165.303
co2_incLUC,1859,1084.939,426.466,133.921,882.401,146.257,115.918,351.573,1174.224
co2_incLUC,1860,975.723,460.729,145.875,837.434,131.183,115.255,342.265,908.476
co2_incLUC,1861,892.159,478.627,151.581,836.623,111.035,111.724,353.156,811.005
co2_incLUC,1862,881.181,486.646,155.351,826.791,101.231,108.871,328.414,743.519
co2_incLUC,1863,882.498,503.284,158.042,812.418,94.293,108.454,328.112,710.889
co2_incLUC,1864,858.173,529.240,162.161,849.707,87.451,106.649,348.070,695.200
co2_incLUC,1865,828.190,552.422,166.301,830.342,64.219,105.228,348.151,670.333
co2_incLUC,1866,812.235,564.358,168.082,867.452,56.935,105.733,336.402,668.424
co2_incLUC,1867,826.462,588.975,170.556,819.236,46.577,106.540,338.222,656.628
co2_incLUC,1868,819.502,590.061,173.263,834.899,39.264,103.665,346.232,636.105
co2_incLUC,1869,806.616,604.750,176.960,841.239,30.817,103.594,348.661,645.912
co2_incLUC,1870,1142.075,613.289,173.975,933.064,38.830,103.510,354.419,696.947
co2_incLUC,1871,1279.658,637.829,178.402,921.956,37.896,102.283,336.767,720.230
co2_incLUC,1872,1379.233,672.342,180.185,973.663,41.183,104.953,349.755,765.273
co2_incLUC,1873,1473.763,700.262,181.255,964.945,38.073,104.165,348.227,769.332
co2_incLUC,1874,1533.171,663.059,181.555,1007.809,38.274,104.037,346.211,782.052
co2_incLUC,1875,1579.407,712.102,185.107,998.076,29.769,104.022,358.356,771.174
co2_incLUC,1876,1619.675,715.825,188.562,1021.325,32.824,105.060,345.410,778.542
co2_incLUC,1877,1685.217,715.597,191.848,1034.141,36.915,103.796,357.054,794.741
co2_incLUC,1878,1731.820,716.965,192.151,1055.334,33.596,105.653,355.247,795.562
co2_incLUC,1879,1813.285,728.392,195.743,1070.969,37.934,105.399,355.626,783.051
co2_incLUC,1880,1683.035,800.447,204.775,1103.789,56.244,109.429,390.189,867.540
co2_incLUC,1881,1609.447,807.746,206.430,1114.450,73.696,110.730,397.134,905.753
co2_incLUC,1882,1636.283,828.554,212.722,1136.122,83.281,115.262,407.342,942.936
co2_incLUC,1883,1665.011,859.321,220.686,1155.630,88.308,114.528,415.573,959.463
co2_incLUC,1884,1657.432,849.353,220.881,1182.395,92.218,115.849,409.064,967.247
co2_incLUC,1885,1638.913,843.837,223.072,1202.292,87.789,116.144,425.711,967.852
co2_incLUC,1886,1650.287,838.287,225.996,1190.608,100.736,117.385,417.280,975.889
co2_incLUC,1887,1690.801,869.199,231.905,1181.501,106.752,117.987,432.328,994.465
co2_incLUC,1888,1742.276,904.444,238.142,1202.153,111.333,118.649,438.644,970.662
co2_incLUC,1889,1680.434,932.096,240.723,1222.977,120.059,119.336,446.406,1002.302
co2_incLUC,1890,1830.081,972.246,246.069,1360.469,142.518,118.679,480.161,1025.129
co2_incLUC,1891,1876.243,998.216,253.318,1390.366,154.217,118.590,510.518,1020.910
co2_incLUC,1892,1892.464,985.007,252.186,1405.249,151.921,117.746,531.294,969.309
co2_incLUC,1893,1928.628,955.752,256.112,1409.308,156.417,117.826,526.102,969.094
co2_incLUC,1894,1903.473,1028.526,263.217,1462.616,163.753,116.989,546.173,968.421
co2_incLUC,1895,1956.694,1042.968,267.842,1450.631,161.597,119.043,550.488,974.908
co2_incLUC,1896,1969.800,1079.941,274.365,1457.453,168.372,119.325,557.201,953.426
co2_incLUC,1897,2004.632,1117.980,279.268,1488.015,180.255,119.860,567.408,968.447
co2_incLUC,1898,2071.625,1138.084,282.791,1517.759,185.791,121.288,567.911,940.237
co2_incLUC,1899,2173.549,1194.437,289.105,1527.314,189.061,121.070,573.006,946.694
co2_incLUC,1900,2137.942,1252.349,348.055,1614.958,214.115,118.660,602.203,929.437
co2_incLUC,1901,2160.345,1229.767,379.062,1709.063,237.026,117.017,638.765,989.842
co2_incLUC,1902,2202.334,1235.101,396.755,1733.679,243.179,119.041,647.911,1013.453
co2_incLUC,1903,2310.262,1279.907,415.159,1794.317,250.113,116.541,677.962,992.338
co2_incLUC,1904,2314.178,1297.975,441.155,1843.707,256.211,117.772,683.042,1025.593
co2_incLUC,1905,2402.203,1336.543,456.522,1901.125,261.763,117.168,688.986,1006.466
co2_incLUC,1906,2437.253,1360.798,475.055,1947.083,271.361,118.450,697.450,1046.432
co2_incLUC,1907,2608.938,1484.700,497.081,2007.678,297.909,119.471,709.799,995.018
co2_incLUC,1908,2458.821,1501.127,511.479,2049.823,305.755,121.715,711.931,989.950
co2_incLUC,1909,2580.517,1493.199,520.546,2099.701,319.785,120.096,723.740,989.870
co2_incLUC,1910,2613.478,1498.469,540.636,1671.557,337.478,122.906,777.840,1095.894
co2_incLUC,1911,2574.106,1523.415,564.605,1545.029,357.221,126.199,794.912,1140.652
co2_incLUC,1912,2594.067,1542.033,588.825,1496.804,355.018,129.278,801.534,1137.573
co2_incLUC,1913,2689.281,1651.913,608.333,1403.214,360.226,132.710,821.126,1173.257
co2_incLUC,1914,2567.684,1491.685,619.577,1281.632,386.096,132.342,828.988,1193.714
co2_incLUC,1915,2589.271,1416.642,600.406,1189.600,393.329,134.976,838.831,1195.195
co2_incLUC,1916,2717.951,1457.454,638.959,1199.674,398.861,134.804,848.254,1185.327
co2_incLUC,1917,2866.900,1423.149,648.359,1099.364,412.897,135.854,848.344,1193.659
co2_incLUC,1918,2949.757,1362.930,676.847,928.597,420.721,140.148,859.846,1189.543
co2_incLUC,1919,2653.395,1252.122,674.523,778.787,423.349,144.024,882.518,1200.870
co2_incLUC,1920,2925.629,1375.569,706.907,1043.211,411.693,290.826,986.689,1403.180
co2_incLUC,1921,2621.542,1262.433,706.629,1115.342,409.010,357.897,1043.554,1476.470
co2_incLUC,1922,2611.203,1402.855,729.827,1137.351,403.667,394.731,1059.397,1522.515
co2_incLUC,1923,3044.510,1343.686,757.084,1194.482,419.424,418.090,1077.201,1610.184
co2_incLUC,1924,2822.442,1529.727,761.275,1150.016,418.667,437.489,1094.807,1641.965
co2_incLUC,1925,2870.947,1516.309,765.349,1234.718,424.491,451.342,1089.485,1676.111
co2_incLUC,1926,2982.334,1270.506,784.523,1282.655,417.944,460.240,1099.706,1703.302
co2_incLUC,1927,2903.167,1589.268,797.387,1331.573,422.749,472.007,1094.422,1736.811
co2_incLUC,1928,2849.236,1580.344,805.269,1357.938,424.255,476.226,1103.784,1800.896
co2_incLUC,1929,2951.246,1696.223,814.401,1451.726,442.278,486.985,1120.348,1787.389
co2_incLUC,1930,2622.214,1578.776,741.937,1689.658,508.006,498.895,957.190,1872.798
co2_incLUC,1931,2318.163,1437.312,689.733,1804.397,537.990,499.268,878.391,1959.684
co2_incLUC,1932,2020.210,1323.672,671.029,1874.088,561.890,499.725,840.172,2019.204
co2_incLUC,1933,2067.994,1351.560,670.108,1896.195,577.957,504.866,817.128,2035.244
co2_incLUC,1934,2134.848,1444.847,688.253,1983.017,605.714,511.169,813.656,2086.978
co2_incLUC,1935,2137.059,1492.025,685.507,2070.028,628.795,515.303,794.730,2054.818
co2_incLUC,1936,2337.598,1548.821,704.315,2198.118,641.189,517.953,799.826,2136.083
co2_incLUC,1937,2374.095,1685.968,711.980,2231.994,643.815,526.926,802.873,2180.194
co2_incLUC,1938,2069.007,1675.217,709.149,2300.405,646.425,533.163,806.352,2181.764
co2_incLUC,1939,2194.627,1714.423,715.917,2308.670,671.810,535.614,807.617,2179.612
co2_incLUC,1940,2461.925,1632.856,732.104,2068.562,757.153,543.609,973.028,2546.188
co2_incLUC,1941,2656.124,1607.225,739.312,1818.758,813.396,549.157,1045.190,2754.862
co2_incLUC,1942,2821.315,1595.801,752.573,1498.249,850.018,551.131,1066.973,2846.511
co2_incLUC,1943,2903.702,1582.444,750.348,1403.567,858.917,546.931,1114.765,2926.937
co2_incLUC,1944,3081.118,1413.622,735.569,1317.670,866.714,554.043,1127.842,2999.128
co2_incLUC,1945,2996.044,893.128,665.442,1091.745,840.610,557.169,1154.977,3041.802
co2_incLUC,1946,2895.988,1201.943,651.159,1078.091,832.602,558.430,1187.863,3100.803
co2_incLUC,1947,3125.125,1371.091,667.022,1040.337,848.536,563.719,1227.359,3141.868
co2_incLUC,1948,3220.853,1477.717,700.988,985.923,850.676,562.684,1235.525,3169.656
co2_incLUC,1949,2757.419,1572.827,691.902,965.028,894.428,565.456,1237.071,3186.977
co2_incLUC,1950,3021.306,1613.966,857.264,1312.700,1211.441,696.349,1399.840,3653.147
co2_incLUC,1951,3036.741,1779.980,916.912,1540.946,1530.138,739.562,1501.333,3834.753
co2_incLUC,1952,2923.173,1819.153,975.388,1687.859,1211.560,768.911,1569.478,4103.778
co2_incLUC,1953,2959.124,1812.787,1027.911,1848.221,1139.985,785.623,1614.225,4238.877
