measure,year,annex2_OWID,annex1_OWID,non_annex1_OWID,annex2_PRIMAP,annex1_PRIMAP,non_annex1_PRIMAP,annex2_GCP_fossil,annex1_GCP_fossil,non_annex1_GCP_fossil,annex2_GCP_BLUE,annex1_GCP_BLUE,non_annex1_GCP_BLUE,annex2_GCP_OSCAR,annex1_GCP_OSCAR,non_annex1_GCP_OSCAR,annex2_EDGAR,annex1_EDGAR,non_annex1_EDGAR,annex2_ClimateWatch,annex1_ClimateWatch,non_annex1_ClimateWatch,annex2_GMST,annex1_GMST
co2_excLUC,1850,193.438,196.738,0.110,200.258,203.641,0.043,193.438,196.738,0.110,,,,,,,,,,,,,48.619,62.092
co2_excLUC,1851,194.934,198.668,0.110,202.587,206.493,0.045,194.934,198.668,0.110,,,,,,,,,,,,,48.619,62.092
co2_excLUC,1852,202.940,207.414,0.181,211.279,215.970,0.051,202.940,207.414,0.181,,,,,,,,,,,,,48.614,62.088
co2_excLUC,1853,212.460,217.120,0.117,221.481,226.410,0.060,212.460,217.120,0.117,,,,,,,,,,,,,48.608,62.083
co2_excLUC,1854,249.819,255.033,0.005,260.357,265.890,0.071,249.819,255.033,0.005,,,,,,,,,,,,,48.602,62.079
co2_excLUC,1855,253.690,260.061,0.199,264.881,271.364,0.080,253.690,260.061,0.199,,,,,,,,,,,,,48.595,62.073
co2_excLUC,1856,270.503,277.296,0.949,282.540,289.769,0.087,270.503,277.296,0.949,,,,,,,,,,,,,48.588,62.068
co2_excLUC,1857,272.670,279.932,1.249,285.185,292.927,0.094,272.670,279.932,1.249,,,,,,,,,,,,,48.581,62.062
co2_excLUC,1858,275.263,283.770,1.779,288.359,297.039,0.525,275.263,283.770,1.779,,,,,,,,,,,,,48.573,62.056
co2_excLUC,1859,292.454,300.780,1.792,305.761,314.214,0.790,292.454,300.780,1.792,,,,,,,,,,,,,48.565,62.050
co2_excLUC,1860,320.980,330.225,2.073,335.122,344.525,0.825,320.980,330.225,2.073,,,,,,,,,,,,,48.557,62.044
co2_excLUC,1861,336.912,347.169,2.022,352.731,363.216,0.699,336.912,347.169,2.022,,,,,,,,,,,,,48.548,62.037
co2_excLUC,1862,341.694,353.830,2.161,357.809,370.230,0.744,341.694,353.830,2.161,,,,,,,,,,,,,48.539,62.030
co2_excLUC,1863,363.372,377.457,2.078,380.039,394.490,0.815,363.372,377.457,2.078,,,,,,,,,,,,,48.530,62.022
co2_excLUC,1864,391.068,407.022,2.503,408.692,425.102,0.798,391.068,407.022,2.503,,,,,,,,,,,,,48.520,62.014
co2_excLUC,1865,414.236,432.171,2.681,433.008,451.475,0.785,414.236,432.171,2.681,,,,,,,,,,,,,48.509,62.006
co2_excLUC,1866,425.392,445.530,3.537,444.340,465.151,1.141,425.392,445.530,3.537,,,,,,,,,,,,,48.498,61.997
co2_excLUC,1867,455.198,477.720,3.094,476.276,499.548,1.268,455.198,477.720,3.094,,,,,,,,,,,,,48.486,61.987
co2_excLUC,1868,466.611,491.185,3.308,488.532,513.918,1.300,466.611,491.185,3.308,,,,,,,,,,,,,48.474,61.977
co2_excLUC,1869,494.716,521.457,3.274,517.411,545.068,1.559,494.716,521.457,3.274,,,,,,,,,,,,,48.461,61.967
co2_excLUC,1870,504.070,532.799,3.325,527.908,557.635,1.732,504.070,532.799,3.325,,,,,,,,,,,,,48.448,61.956
co2_excLUC,1871,532.791,566.163,3.614,558.337,592.846,2.062,532.791,566.163,3.614,,,,,,,,,,,,,48.434,61.945
co2_excLUC,1872,590.577,626.553,4.408,619.195,656.396,2.215,590.577,626.553,4.408,,,,,,,,,,,,,48.420,61.933
co2_excLUC,1873,627.636,665.779,4.688,657.924,697.361,2.293,627.635,665.779,4.688,,,,,,,,,,,,,48.404,61.920
co2_excLUC,1874,581.888,623.380,5.282,609.186,652.191,2.561,581.888,623.380,5.282,,,,,,,,,,,,,48.387,61.906
co2_excLUC,1875,633.494,676.133,4.915,664.917,709.158,2.798,633.494,676.133,4.915,,,,,,,,,,,,,48.371,61.893
co2_excLUC,1876,633.964,685.562,5.020,665.891,719.857,3.128,633.964,685.562,5.020,,,,,,,,,,,,,48.354,61.879
co2_excLUC,1877,647.734,699.162,4.871,680.289,734.114,3.210,647.734,699.162,4.871,,,,,,,,,,,,,48.337,61.864
co2_excLUC,1878,646.902,702.582,7.067,678.654,736.985,3.709,646.902,702.582,7.067,,,,,,,,,,,,,48.320,61.849
co2_excLUC,1879,693.403,752.640,7.155,728.459,790.548,3.674,693.403,752.640,7.155,,,,,,,,,,,,,48.303,61.835
co2_excLUC,1880,787.756,850.247,7.981,831.269,896.803,4.208,787.756,850.247,7.981,,,,,,,,,,,,,48.285,61.819
co2_excLUC,1881,815.392,879.853,8.319,856.412,924.068,4.294,815.392,879.853,8.319,,,,,,,,,,,,,48.264,61.801
co2_excLUC,1882,862.444,929.265,8.893,906.864,977.008,4.800,862.444,929.265,8.893,,,,,,,,,,,,,48.242,61.782
co2_excLUC,1883,914.636,988.192,9.671,961.882,1039.061,5.406,914.636,988.192,9.671,,,,,,,,,,,,,48.219,61.763
co2_excLUC,1884,923.023,999.204,10.558,971.203,1051.135,5.821,923.023,999.204,10.558,,,,,,,,,,,,,48.195,61.742
co2_excLUC,1885,926.500,1006.731,10.758,976.273,1060.520,5.841,926.500,1006.731,10.758,,,,,,,,,,,,,48.171,61.721
co2_excLUC,1886,939.666,1022.164,10.823,989.562,1076.271,6.269,939.666,1022.164,10.823,,,,,,,,,,,,,48.146,61.699
co2_excLUC,1887,986.875,1072.134,12.149,1038.939,1128.653,8.014,986.875,1072.134,12.149,,,,,,,,,,,,,48.121,61.678
co2_excLUC,1888,1095.025,1187.414,13.927,1152.984,1250.148,8.371,1095.025,1187.414,13.927,,,,,,,,,,,,,48.095,61.655
co2_excLUC,1889,1086.749,1185.948,16.150,1145.888,1250.171,10.297,1086.749,1185.948,16.150,,,,,,,,,,,,,48.066,61.630
co2_excLUC,1890,1184.876,1291.053,16.202,1249.345,1361.032,11.061,1184.876,1291.053,16.202,,,,,,,,,,,,,48.037,61.605
co2_excLUC,1891,1237.676,1351.584,18.015,1305.387,1425.208,12.180,1237.676,1351.584,18.015,,,,,,,,,,,,,48.006,61.577
co2_excLUC,1892,1246.539,1360.430,20.106,1314.862,1434.749,14.156,1246.539,1360.430,20.106,,,,,,,,,,,,,47.973,61.549
co2_excLUC,1893,1218.284,1340.285,22.895,1287.697,1416.162,17.506,1218.284,1340.285,22.895,,,,,,,,,,,,,47.940,61.520
co2_excLUC,1894,1262.067,1386.730,25.497,1334.756,1465.957,18.851,1262.067,1386.730,25.497,,,,,,,,,,,,,47.908,61.492
co2_excLUC,1895,1332.797,1467.089,28.875,1409.445,1550.927,23.313,1332.797,1467.089,28.875,,,,,,,,,,,,,47.875,61.462
co2_excLUC,1896,1373.699,1514.026,31.425,1452.633,1600.403,25.541,1373.699,1514.026,31.425,,,,,,,,,,,,,47.840,61.431
co2_excLUC,1897,1433.442,1584.544,33.861,1517.102,1676.373,28.189,1433.442,1584.544,33.861,,,,,,,,,,,,,47.804,61.399
co2_excLUC,1898,1504.634,1668.564,38.402,1592.796,1765.415,32.626,1504.634,1668.564,38.402,,,,,,,,,,,,,47.767,61.366
co2_excLUC,1899,1648.388,1823.227,41.197,1746.196,1930.450,35.130,1648.388,1823.227,41.197,,,,,,,,,,,,,47.728,61.331
co2_excLUC,1900,1737.314,1922.241,40.643,1844.512,2039.333,34.926,1737.314,1922.241,40.643,,,,,,,,,,,,,47.685,61.292
co2_excLUC,1901,1786.642,1979.263,46.365,1893.808,2096.818,44.546,1786.642,1979.263,46.365,,,,,,,,,,,,,47.639,61.251
co2_excLUC,1902,1838.635,2027.478,49.478,1947.749,2146.927,48.182,1838.635,2027.478,49.478,,,,,,,,,,,,,47.592,61.209
co2_excLUC,1903,2018.014,2210.097,54.495,2136.312,2338.750,54.465,2018.014,2210.097,54.495,,,,,,,,,,,,,47.544,61.166
co2_excLUC,1904,2029.033,2230.237,60.018,2146.882,2359.079,60.863,2029.033,2230.237,60.018,,,,,,,,,,,,,47.490,61.119
co2_excLUC,1905,2175.154,2376.662,63.909,2299.511,2511.499,63.024,2175.154,2376.662,63.909,,,,,,,,,,,,,47.436,61.071
co2_excLUC,1906,2257.693,2475.725,73.253,2387.179,2616.486,88.668,2257.693,2475.725,73.253,,,,,,,,,,,,,47.378,61.021
co2_excLUC,1907,2563.832,2803.017,101.932,2714.195,2965.933,95.777,2563.832,2803.017,101.932,,,,,,,,,,,,,47.318,60.968
co2_excLUC,1908,2433.666,2680.586,109.809,2586.455,2846.470,110.419,2433.666,2680.586,109.809,,,,,,,,,,,,,47.249,60.909
co2_excLUC,1909,2537.627,2792.985,114.126,2688.961,2957.834,110.200,2537.628,2792.986,114.126,,,,,,,,,,,,,47.185,60.852
co2_excLUC,1910,2678.836,2930.728,119.545,2838.233,3103.333,115.015,2678.836,2930.728,119.545,,,,,,,,,,,,,47.118,60.793
co2_excLUC,1911,2706.087,2968.700,128.507,2865.302,3141.229,132.901,2706.087,2968.700,128.507,,,,,,,,,,,,,47.046,60.731
co2_excLUC,1912,2836.694,3125.952,127.977,3009.466,3313.123,122.404,2836.694,3125.952,127.977,,,,,,,,,,,,,46.974,60.668
co2_excLUC,1913,3068.647,3376.728,148.118,3253.425,3576.561,138.119,3068.648,3376.728,148.118,,,,,,,,,,,,,46.898,60.601
co2_excLUC,1914,2787.609,3056.847,140.903,2956.114,3239.633,135.329,2787.609,3056.847,140.903,,,,,,,,,,,,,46.816,60.529
co2_excLUC,1915,2751.989,3009.476,138.554,2915.561,3186.682,138.413,2751.989,3009.476,138.554,,,,,,,,,,,,,46.741,60.464
co2_excLUC,1916,2969.302,3247.779,152.453,3134.483,3427.861,148.647,2969.302,3247.779,152.453,,,,,,,,,,,,,46.667,60.400
co2_excLUC,1917,3111.753,3390.807,165.691,3257.070,3550.366,159.305,3111.753,3390.807,165.691,,,,,,,,,,,,,46.586,60.330
co2_excLUC,1918,3137.639,3337.256,168.829,3291.721,3500.397,161.056,3137.639,3337.256,168.829,,,,,,,,,,,,,46.501,60.257
co2_excLUC,1919,2760.816,2850.334,190.779,2895.747,2991.515,183.261,2760.816,2850.334,190.779,,,,,,,,,,,,,46.413,60.185
co2_excLUC,1920,3154.543,3317.425,229.333,3301.541,3471.791,217.744,3154.543,3317.425,229.333,,,,,,,,,,,,,46.333,60.126
co2_excLUC,1921,2704.346,2870.133,244.861,2828.770,3001.483,234.783,2704.346,2870.133,244.861,,,,,,,,,,,,,46.244,60.056
co2_excLUC,1922,2852.524,3020.723,243.994,2993.553,3168.381,237.285,2852.524,3020.723,243.994,,,,,,,,,,,,,46.170,59.997
co2_excLUC,1923,3292.880,3450.660,252.336,3448.429,3612.855,247.339,3292.880,3450.660,252.336,,,,,,,,,,,,,46.090,59.934
co2_excLUC,1924,3279.481,3451.501,264.642,3439.422,3619.328,262.107,3279.481,3451.501,264.642,,,,,,,,,,,,,45.996,59.861
co2_excLUC,1925,3314.519,3483.874,256.759,3498.439,3675.411,257.620,3314.519,3483.874,256.759,,,,,,,,,,,,,45.903,59.789
co2_excLUC,1926,3231.863,3427.526,249.880,3409.062,3613.591,261.857,3231.863,3427.526,249.880,,,,,,,,,,,,,45.808,59.714
co2_excLUC,1927,3530.042,3761.450,251.497,3735.966,3981.052,268.712,3530.042,3761.450,251.497,,,,,,,,,,,,,45.716,59.641
co2_excLUC,1928,3491.248,3740.032,256.279,3683.210,3944.618,290.527,3491.248,3740.032,256.279,,,,,,,,,,,,,45.615,59.559
co2_excLUC,1929,3745.632,4022.322,265.888,3954.390,4244.419,311.219,3745.632,4022.322,265.888,,,,,,,,,,,,,45.515,59.478
co2_excLUC,1930,3403.625,3692.918,265.177,3588.092,3893.131,320.669,3403.625,3692.918,265.177,,,,,,,,,,,,,45.407,59.389
co2_excLUC,1931,2974.772,3286.859,252.460,3137.344,3466.882,301.035,2974.772,3286.859,252.460,,,,,,,,,,,,,45.311,59.309
co2_excLUC,1932,2626.508,2940.541,252.049,2770.164,3101.726,298.140,2626.508,2940.541,252.049,,,,,,,,,,,,,45.228,59.237
co2_excLUC,1933,2759.724,3092.629,270.053,2908.369,3259.602,319.056,2759.724,3092.629,270.053,,,,,,,,,,,,,45.157,59.174
co2_excLUC,1934,2965.816,3349.555,306.630,3126.360,3531.455,364.606,2965.816,3349.555,306.630,,,,,,,,,,,,,45.081,59.107
co2_excLUC,1935,3077.888,3496.851,338.890,3246.658,3689.365,408.315,3077.888,3496.851,338.890,,,,,,,,,,,,,45.001,59.035
co2_excLUC,1936,3378.706,3848.183,359.746,3561.653,4058.274,438.999,3378.706,3848.183,359.746,,,,,,,,,,,,,44.919,58.960
co2_excLUC,1937,3615.689,4104.141,392.573,3818.835,4336.219,483.072,3615.689,4104.141,392.573,,,,,,,,,,,,,44.829,58.877
co2_excLUC,1938,3317.533,3835.578,394.039,3499.754,4048.789,494.541,3317.533,3835.578,394.039,,,,,,,,,,,,,44.731,58.787
co2_excLUC,1939,3527.608,4046.769,423.363,3733.141,4283.149,533.343,3527.608,4046.769,423.363,,,,,,,,,,,,,44.643,58.705
co2_excLUC,1940,3709.150,4423.417,461.244,3888.414,4640.553,555.303,3709.150,4423.417,461.244,,,,,,,,,,,,,44.549,58.617
co2_excLUC,1941,3877.778,4537.334,461.756,4051.846,4748.882,567.132,3877.777,4537.334,461.756,,,,,,,,,,,,,44.455,58.521
co2_excLUC,1942,4030.285,4547.328,435.195,4211.799,4815.365,518.521,4030.285,4547.328,435.195,,,,,,,,,,,,,44.352,58.422
co2_excLUC,1943,4098.326,4649.428,425.845,4265.417,4969.150,544.844,4098.326,4649.428,425.846,,,,,,,,,,,,,44.239,58.320
co2_excLUC,1944,4090.645,4711.657,450.828,4224.514,4882.524,577.046,4090.645,4711.657,450.828,,,,,,,,,,,,,44.124,58.215
co2_excLUC,1945,3413.937,3880.793,408.519,3512.784,4010.036,565.283,3413.937,3880.793,408.519,,,,,,,,,,,,,44.011,58.108
co2_excLUC,1946,3612.655,4177.920,430.625,3771.833,4376.189,657.796,3612.655,4177.921,430.625,,,,,,,,,,,,,43.915,58.021
co2_excLUC,1947,4035.633,4673.547,491.657,4249.738,4936.882,684.988,4035.633,4673.547,491.657,,,,,,,,,,,,,43.816,57.927
co2_excLUC,1948,4277.882,4956.852,491.031,4516.006,5251.317,680.189,4277.882,4956.852,491.031,,,,,,,,,,,,,43.704,57.821
co2_excLUC,1949,3947.986,4716.065,487.968,4180.978,5014.636,723.264,3947.986,4716.065,487.968,,,,,,,,,,,,,43.584,57.707
co2_excLUC,1950,4400.969,5233.916,565.776,4654.328,5567.423,616.009,4400.969,5233.916,565.776,,,,,,,,,,,,,43.478,57.598
co2_excLUC,1951,4688.332,5593.262,632.925,4971.291,5967.799,696.438,4688.332,5593.262,632.925,,,,,,,,,,,,,43.358,57.478
co2_excLUC,1952,4643.612,5615.717,693.856,4926.925,6001.274,758.889,4643.612,5615.717,693.856,,,,,,,,,,,,,43.231,57.349
co2_excLUC,1953,4735.789,5773.748,713.613,5027.911,6178.936,786.948,4735.789,5773.748,713.613,,,,,,,,,,,,,43.108,57.221
co2_excLUC,1954,4704.825,5830.922,794.730,5013.706,6267.822,879.996,4704.825,5830.922,794.730,,,,,,,,,,,,,42.983,57.088
co2_excLUC,1955,5092.717,6340.773,915.044,5432.291,6829.288,1001.139,5092.717,6340.773,915.033,,,,,,,,,,,,,42.863,56.956
co2_excLUC,1956,5366.834,6724.307,999.887,5730.004,7254.050,1092.888,5366.834,6724.307,999.876,,,,,,,,,,,,,42.734,56.812
co2_excLUC,1957,5387.076,6867.692,1093.916,5758.693,7425.359,1212.023,5387.075,6867.692,1093.901,,,,,,,,,,,,,42.599,56.660
co2_excLUC,1958,5245.548,6812.267,1396.816,5614.929,7383.342,1547.781,5245.548,6812.267,1396.801,,,,,,,,,,,,,42.468,56.505
co2_excLUC,1959,5346.945,6995.215,1646.113,5735.245,7599.965,1817.651,5346.945,6995.215,1646.099,,,,,,,,,,,,,42.352,56.361
co2_excLUC,1960,5639.126,7363.950,1786.349,6026.884,7981.180,1974.781,5639.126,7363.950,1786.335,,,,,,,,,,,,,42.240,56.220
co2_excLUC,1961,5755.468,7548.625,1604.850,6152.033,8183.938,1799.278,5755.468,7548.625,1604.799,,,,,,,,,,,,,42.121,56.072
co2_excLUC,1962,6017.521,7912.039,1564.155,6446.950,8592.945,1770.697,6017.521,7912.039,1564.104,,,,,,,,,,,,,41.994,55.909
co2_excLUC,1963,6324.914,8356.787,1625.952,6823.614,9125.729,1852.619,6324.914,8356.786,1625.897,,,,,,,,,,,,,41.856,55.733
co2_excLUC,1964,6627.812,8792.433,1720.671,7138.224,9591.801,1943.513,6627.812,8792.433,1720.612,,,,,,,,,,,,,41.710,55.542
co2_excLUC,1965,6852.815,9121.261,1867.393,7403.535,9980.675,2093.772,6852.815,9121.261,1867.327,,,,,,,,,,,,,41.556,55.340
co2_excLUC,1966,7133.397,9510.152,2004.062,7678.939,10385.483,2264.270,7133.397,9510.152,2003.996,,,,,,,,,,,,,41.398,55.130
co2_excLUC,1967,7382.321,9857.692,2006.909,7943.303,10761.748,2237.464,7382.321,9857.692,2006.835,,,,,,,,,,,,,41.233,54.909
co2_excLUC,1968,7769.815,10338.859,2172.222,8350.550,11272.228,2437.659,7769.815,10338.859,2172.145,,,,,,,,,,,,,41.058,54.674
co2_excLUC,1969,8240.805,10937.124,2412.172,8855.033,11918.591,2693.091,8240.805,10937.124,2412.040,,,,,,,,,,,,,40.871,54.426
co2_excLUC,1970,8822.985,11675.703,2788.864,9418.856,12641.286,3106.626,8822.985,11675.703,2788.659,,,,,,,,,,,,,40.672,54.164
co2_excLUC,1971,8964.181,11974.580,3070.225,9534.476,12880.087,3380.548,8964.181,11974.580,3069.976,,,,,,,,,,,,,40.459,53.886
co2_excLUC,1972,9356.378,12511.488,3223.373,9953.949,13471.792,3532.251,9356.378,12511.488,3223.116,,,,,,,,,,,,,40.249,53.603
co2_excLUC,1973,9790.086,13076.360,3477.151,10428.007,14095.019,3791.261,9790.086,13076.360,3476.905,,,,,,,,,,,,,40.025,53.302
co2_excLUC,1974,9531.698,12931.427,3580.110,10127.853,13882.817,3890.522,9531.698,12931.428,3579.792,,,,,,,,,,,,,39.788,52.983
co2_excLUC,1975,9162.324,12745.973,3797.467,9672.868,13600.438,4110.669,9162.324,12745.973,3797.137,,,,,,,,,,,,,39.564,52.666
co2_excLUC,1976,9630.535,13372.009,4054.327,10199.027,14295.599,4350.270,9630.535,13372.009,4054.089,,,,,,,,,,,,,39.363,52.356
co2_excLUC,1977,9735.972,13612.131,4299.796,10281.288,14501.748,4586.226,9735.972,13612.132,4299.522,,,,,,,,,,,,,39.147,52.026
co2_excLUC,1978,9951.562,13962.568,4608.953,10528.059,14887.385,4876.450,9951.562,13962.568,4608.751,,,,,,,,,,,,,38.932,51.687
co2_excLUC,1979,10184.583,14222.119,4831.613,10793.317,15190.695,5105.354,10184.583,14222.119,4831.390,,,,,,,,,,,,,38.714,51.337
co2_excLUC,1980,9880.075,14055.347,4910.131,10426.483,14950.561,5157.337,9880.075,14055.347,4909.874,,,,,,,,,,,,,38.486,50.976
co2_excLUC,1981,9488.013,13559.878,4909.710,10031.494,14438.317,5178.885,9488.012,13559.878,4909.450,,,,,,,,,,,,,38.273,50.614
co2_excLUC,1982,9093.113,13242.053,5116.304,9547.976,14027.572,5345.735,9093.113,13242.053,5116.073,,,,,,,,,,,,,38.070,50.261
co2_excLUC,1983,9041.973,13246.703,5298.315,9512.772,14046.020,5521.114,9041.973,13246.703,5298.077,,,,,,,,,,,,,37.891,49.919
co2_excLUC,1984,9268.990,13514.973,5584.125,9776.352,14362.081,5844.984,9268.990,13514.973,5583.967,,,,,,,,,,,,,37.716,49.573
co2_excLUC,1985,9332.928,13842.078,5936.922,9823.905,14661.217,6202.316,9332.928,13842.078,5936.761,,,,,,,,,,,,,37.534,49.217
co2_excLUC,1986,9304.008,13846.649,6199.216,9780.129,14667.307,6441.789,9304.008,13846.649,6199.055,,,,,,,,,,,,,37.363,48.849
co2_excLUC,1987,9542.553,14105.314,6474.767,10033.657,14936.527,6721.844,9542.553,14105.314,6474.602,,,,,,,,,,,,,37.198,48.479
co2_excLUC,1988,9853.828,14456.524,6917.923,10374.199,15308.794,7143.446,9853.828,14456.524,6917.732,,,,,,,,,,,,,37.022,48.095
co2_excLUC,1989,10056.172,14556.763,7079.498,10583.755,15407.316,7398.466,10056.172,14556.763,7079.264,,,,,,,,,,,,,36.838,47.699
co2_excLUC,1990,10535.675,15107.800,7076.474,10530.674,15102.897,7293.653,10535.675,15107.800,7076.229,,,,,,,,,,,,,36.636,47.289
co2_excLUC,1991,10516.542,14800.345,7862.576,10513.905,14797.806,7892.124,10516.542,14800.345,7384.402,,,,,,,,,,,,,36.398,46.832
co2_excLUC,1992,10576.052,14298.457,7668.150,10571.720,14294.229,7834.721,10576.052,14298.457,7668.135,,,,,,,,,,,,,36.168,46.408
co2_excLUC,1993,10616.224,14131.371,8061.066,10612.349,14127.598,8186.669,10616.224,14131.371,8061.052,,,,,,,,,,,,,35.896,45.983
co2_excLUC,1994,10770.220,13936.629,8453.139,10765.217,13931.729,8501.760,10770.220,13936.629,8453.125,,,,,,,,,,,,,35.615,45.567
co2_excLUC,1995,10906.266,14026.710,8872.671,10901.180,14021.724,8955.510,10906.265,14026.710,8872.667,,,,,,,,,,,,,35.311,45.162
co2_excLUC,1996,11201.389,14297.953,9267.009,11196.349,14293.015,9410.814,11201.389,14297.952,9267.005,,,,,,,,,,,,,34.998,44.752
co2_excLUC,1997,11227.773,14192.091,9484.947,11224.334,14188.753,9684.352,11227.773,14192.091,9484.943,,,,,,,,,,,,,34.660,44.323
co2_excLUC,1998,11320.306,14204.212,9345.247,11317.326,14201.332,9597.093,11320.306,14204.212,9345.243,,,,,,,,,,,,,34.305,43.888
co2_excLUC,1999,11430.447,14260.551,9803.800,11427.690,14257.896,10091.358,11430.447,14260.551,9803.796,,,,,,,,,,,,,33.913,43.421
co2_excLUC,2000,11728.933,14544.698,10183.265,11726.013,14541.876,10505.543,11728.933,14544.698,10183.262,,,,,,,,,,,,,33.506,42.946
co2_excLUC,2001,11652.799,14520.190,10395.300,11650.412,14517.901,10794.508,11652.799,14520.191,10395.296,,,,,,,,,,,,,33.064,42.442
co2_excLUC,2002,11731.258,14573.849,10894.637,11729.474,14572.163,11381.293,11731.258,14573.849,10894.633,,,,,,,,,,,,,32.611,41.919
co2_excLUC,2003,11885.857,14819.578,12003.852,11883.811,14817.628,12506.084,11885.856,14819.578,12003.849,,,,,,,,,,,,,32.140,41.383
co2_excLUC,2004,11998.119,14956.597,12749.961,11996.935,14955.502,13379.914,11998.119,14956.597,12749.954,,,,,,,,,,,,,31.675,40.853
co2_excLUC,2005,12010.627,15008.285,13651.439,12009.872,15007.617,14405.759,12010.627,15008.284,13651.431,,,,,,,,,,,,,31.197,40.313
co2_excLUC,2006,11904.310,15019.940,14583.616,11902.674,15018.387,15207.983,11904.310,15019.940,14583.609,,,,,,,,,,,,,30.721,39.778
co2_excLUC,2007,11974.504,15137.762,15313.240,11973.079,15136.417,15880.342,11974.505,15137.762,15313.230,,,,,,,,,,,,,30.265,39.251
co2_excLUC,2008,11621.716,14782.343,16209.136,11621.495,14782.203,16627.961,11621.716,14782.343,16209.136,,,,,,,,,,,,,29.793,38.706
co2_excLUC,2009,10806.821,13746.256,16752.708,10807.492,13746.998,17118.638,10806.821,13746.256,16752.708,,,,,,,,,,,,,29.362,38.203
co2_excLUC,2010,11141.303,14213.941,18031.700,11143.599,14216.308,18143.669,11141.303,14213.941,18031.701,,,,,,,,,,,,,29.008,37.803
co2_excLUC,2011,10916.733,14086.236,19287.698,10919.867,14089.395,19459.196,10916.733,14086.236,19287.698,,,,,,,,,,,,,28.645,37.391
co2_excLUC,2012,10730.345,13898.321,19962.321,10733.006,13901.025,20136.111,10730.345,13898.321,19962.321,,,,,,,,,,,,,28.348,37.040
co2_excLUC,2013,10820.671,13882.386,20283.237,10824.115,13885.794,20516.026,10820.671,13882.387,20283.237,,,,,,,,,,,,,28.081,36.720
co2_excLUC,2014,10655.071,13676.084,20673.763,10656.661,13677.503,21072.637,10655.071,13676.084,20673.763,,,,,,,,,,,,,27.767,36.377
co2_excLUC,2015,10492.067,13498.848,20752.060,10491.182,13497.719,21410.749,10492.067,13498.848,20752.061,,,,,,,,,,,,,27.452,36.045
co2_excLUC,2016,10311.273,13351.499,20872.252,10309.593,13349.697,21656.738,10311.273,13351.499,20872.252,,,,,,,,,,,,,27.113,35.686
co2_excLUC,2017,10249.216,13361.929,21411.565,10248.462,13360.857,22369.086,10249.216,13361.929,21411.565,,,,,,,,,,,,,26.754,35.290
co2_excLUC,2018,10308.483,13467.581,22030.046,10308.872,13467.627,22885.663,10308.483,13467.581,22030.046,,,,,,,,,,,,,26.379,34.857
co2_excLUC,2019,10026.807,13117.095,22729.898,10027.264,13116.657,23281.241,10026.807,13117.095,22729.897,,,,,,,,,,,,,25.943,34.353
co2_excLUC,2020,9065.867,12030.969,22287.711,9068.325,12033.268,22809.497,9065.867,12030.969,22287.711,,,,,,,,,,,,,25.542,33.909
co2_excLUC,2021,9562.250,12666.990,23320.791,9565.397,12669.912,23818.334,9562.250,12666.990,23320.790,,,,,,,,,,,,,25.337,33.640
co2_excLUC,2022,9496.661,12493.547,24068.555,9514.387,12511.112,24235.097,9496.662,12493.547,24068.555,,,,,,,,,,,,,24.935,33.133
co2_excLUC,2023,9126.619,12149.121,24862.169,9125.753,12104.228,25061.781,9126.619,12149.121,24862.170,,,,,,,,,,,,,24.423,32.621
co2_excLUC,2024,9045.347,12122.675,25283.439,8641.151,11449.105,24074.684,9045.347,12122.675,25283.439,,,,,,,,,,,,,24.185,32.413
co2_incLUC,1850,1290.936,2094.882,1537.861,891.930,1211.493,823.429,,,,1290.936,2094.882,1537.861,1053.273,1399.061,945.557,,,,,,,39.109,52.337
co2_incLUC,1851,1347.784,2157.601,1626.338,899.510,1219.531,789.239,,,,1347.784,2157.601,1626.338,1086.404,1423.289,980.535,,,,,,,39.109,52.337
co2_incLUC,1852,1380.203,2230.345,1683.590,1146.190,1468.051,754.790,,,,1380.203,2230.345,1683.590,1103.114,1471.461,1004.504,,,,,,,39.109,52.330
co2_incLUC,1853,1433.029,2259.173,1710.368,1184.999,1508.209,718.593,,,,1433.029,2259.173,1710.368,1143.791,1481.320,1002.070,,,,,,,39.109,52.323
co2_incLUC,1854,1499.014,2352.142,1705.869,1251.850,1576.832,681.931,,,,1499.014,2352.142,1705.869,1200.051,1558.938,1006.056,,,,,,,39.108,52.315
co2_incLUC,1855,1518.949,2377.324,1754.300,1283.286,1610.443,643.801,,,,1518.949,2377.324,1754.300,1212.195,1571.616,1020.760,,,,,,,39.106,52.306
co2_incLUC,1856,1546.951,2411.286,1762.129,1326.327,1655.482,637.612,,,,1546.950,2411.286,1762.129,1234.154,1595.778,1034.424,,,,,,,39.104,52.297
co2_incLUC,1857,1571.184,2446.174,1776.948,1353.469,1684.382,632.513,,,,1571.184,2446.174,1776.948,1253.733,1622.810,1054.564,,,,,,,39.102,52.288
co2_incLUC,1858,1600.233,2476.819,1775.571,1379.760,1712.848,628.012,,,,1600.233,2476.819,1775.571,1279.577,1647.578,1043.049,,,,,,,39.099,52.278
co2_incLUC,1859,1645.326,2527.726,1787.971,1419.536,1753.622,624.224,,,,1645.326,2527.726,1787.971,1322.812,1694.498,1049.738,,,,,,,39.096,52.268
co2_incLUC,1860,1582.327,2419.760,1497.178,1470.527,1806.778,619.519,,,,1582.327,2419.761,1497.178,1362.587,1713.343,1027.021,,,,,,,39.092,52.257
